"","parameter","mean","median","sd","mad","90% CI","ess_bulk","ess_tail","rhat"
"1","lp__","-134","-133","10.2","  10","(-151, -118)"," 717","1.26e+03","1.01"
"2","CLHat","67.9","67.3","10.7","10.5","(51.8, 86.7)"," 833","1.77e+03","   1"
"3","QHat"," 112"," 109","30.2","28.5","(70.1,  167)","1.64e+03","2.07e+03","   1"
"4","V1Hat","7.18","7.03","1.66","1.62","(4.78, 10.2)","4.28e+03","2.81e+03","   1"
"5","V2Hat","1.28e+03","1.27e+03"," 282"," 277","( 863, 1.78e+03)","1.48e+03","2.21e+03","   1"
"6","KAHat","1.07","0.998","0.415","0.359","(0.548, 1.82)","1.2e+03","1.82e+03","   1"
"7","omega[1]","0.535","0.527","0.0839","0.081","(0.417, 0.688)","1.44e+03","2.47e+03","   1"
"8","omega[2]","0.974","0.961","0.189","0.178","(0.691,  1.3)","1e+03","1.96e+03","1.01"
"9","omega[3]","0.412"," 0.4","0.105","0.101","(0.263, 0.603)","5.78e+03","3.26e+03","   1"
"10","omega[4]","0.679","0.671","0.135","0.138","(0.475, 0.917)","1.58e+03","2.63e+03","   1"
"11","omega[5]"," 1.4","1.39","0.179","0.181","(1.12, 1.71)","1.33e+03","2.06e+03","   1"
"12","sigma","0.308","0.306","0.0291","0.0287","(0.264, 0.36)","1.66e+03","2.69e+03","   1"
"13","nu","3.83","3.55","0.986","0.575","(3.04, 5.52)","2.58e+03","2.05e+03","   1"
"14","rho[2,1]","-0.0545","-0.0551","0.194","0.198","(-0.382, 0.264)","1.01e+03","1.74e+03","   1"
"15","rho[3,1]","0.00954","0.013","0.202","0.204","(-0.335, 0.341)","4.32e+03","3.18e+03","   1"
"16","rho[4,1]","0.00363","-0.000333","0.18","0.178","(-0.291, 0.309)","1.08e+03","2.33e+03","   1"
"17","rho[5,1]","-0.303","-0.307","0.137","0.139","(-0.523, -0.0601)","2.25e+03","2.78e+03","   1"
"18","rho[1,2]","-0.0545","-0.0551","0.194","0.198","(-0.382, 0.264)","1.01e+03","1.74e+03","   1"
"19","rho[3,2]","-0.055","-0.0583","0.203","0.21","(-0.384, 0.282)","4.54e+03","2.94e+03","   1"
"20","rho[4,2]","0.394","0.402","0.14","0.138","(0.153, 0.616)","2.5e+03","2.75e+03","   1"
"21","rho[5,2]","0.343","0.349","0.149","0.152","(0.0859, 0.578)","1.43e+03","2.81e+03","   1"
"22","rho[1,3]","0.00954","0.013","0.202","0.204","(-0.335, 0.341)","4.32e+03","3.18e+03","   1"
"23","rho[2,3]","-0.055","-0.0583","0.203","0.21","(-0.384, 0.282)","4.54e+03","2.94e+03","   1"
"24","rho[4,3]","-0.0139","-0.0153"," 0.2","0.205","(-0.338, 0.317)","1.91e+03","2.79e+03","   1"
"25","rho[5,3]","-0.0494","-0.0535","0.205","0.207","(-0.381, 0.291)","1.59e+03","2.49e+03","   1"
"26","rho[1,4]","0.00363","-0.000333","0.18","0.178","(-0.291, 0.309)","1.08e+03","2.33e+03","   1"
"27","rho[2,4]","0.394","0.402","0.14","0.138","(0.153, 0.616)","2.5e+03","2.75e+03","   1"
"28","rho[3,4]","-0.0139","-0.0153"," 0.2","0.205","(-0.338, 0.317)","1.91e+03","2.79e+03","   1"
"29","rho[5,4]","0.194","0.198","0.15","0.153","(-0.0603, 0.435)","2.05e+03","2.6e+03","   1"
"30","rho[1,5]","-0.303","-0.307","0.137","0.139","(-0.523, -0.0601)","2.25e+03","2.78e+03","   1"
"31","rho[2,5]","0.343","0.349","0.149","0.152","(0.0859, 0.578)","1.43e+03","2.81e+03","   1"
"32","rho[3,5]","-0.0494","-0.0535","0.205","0.207","(-0.381, 0.291)","1.59e+03","2.49e+03","   1"
"33","rho[4,5]","0.194","0.198","0.15","0.153","(-0.0603, 0.435)","2.05e+03","2.6e+03","   1"
