"","parameter","mean","median","sd","mad","90% CI","ess_bulk","ess_tail","rhat"
"1","lp__","-134","-134","10.6","10.6","(-152, -117)","1.02e+03","1.87e+03","   1"
"2","CLHat","66.3","65.9","8.35","8.14","(53.3, 80.5)","1.41e+03","1.73e+03","   1"
"3","QHat","45.7","44.7","  11","10.7","(29.7, 65.2)","3.69e+03","2.74e+03","   1"
"4","V1Hat","9.09","8.84","2.15","2.04","(6.03, 12.9)","2.85e+03","2.31e+03","   1"
"5","V2Hat"," 505"," 492"," 118"," 109","( 332,  719)","3.92e+03","2.55e+03","   1"
"6","KAHat","1.59","1.57","0.373","0.368","(1.01, 2.25)","1.94e+03","2.49e+03","   1"
"7","KA14Hat"," 8.2","8.44","1.29","1.34","(5.84, 9.85)","2.38e+03","2.44e+03","   1"
"8","KA41Hat","0.159","0.155","0.0346","0.034","(0.109, 0.221)","2.16e+03","2.45e+03","   1"
"9","omega[1]","0.49","0.483","0.075","0.074","(0.379, 0.627)","2e+03","2.17e+03","   1"
"10","omega[2]","0.456","0.433","0.14","0.113","(0.283, 0.704)","1.37e+03"," 843","   1"
"11","omega[3]","1.35","1.36","0.275","0.264","(0.869, 1.79)"," 705"," 578","1.01"
"12","omega[4]","0.41","0.398","0.105","0.101","(0.263, 0.601)","4.89e+03","2.92e+03","   1"
"13","omega[5]","0.391","0.381","0.0947","0.0914","(0.255, 0.565)","2.3e+03","2.3e+03","   1"
"14","omega[6]","0.394","0.382","0.0928","0.089","(0.262, 0.562)","2.79e+03","2.45e+03","   1"
"15","omega[7]","0.515","0.508","0.112","0.107","(0.348, 0.712)","2.22e+03","2.46e+03","   1"
"16","sigma","0.312","0.31","0.0265","0.0259","(0.273, 0.358)","3.17e+03","2.95e+03","   1"
"17","nu","3.73","3.48","0.832","0.495","(3.04, 5.22)","3.1e+03","2.3e+03","   1"
"18","rho[2,1]","0.0524","0.0554","0.188","0.191","(-0.265, 0.358)","3.46e+03","2.74e+03","   1"
"19","rho[3,1]","0.242","0.248","0.155","0.151","(-0.026, 0.481)","1.17e+03"," 893","   1"
"20","rho[4,1]","-0.0174","-0.0182","0.187","0.188","(-0.322, 0.299)","6.54e+03","2.62e+03","   1"
"21","rho[5,1]","-0.0574","-0.0586","0.192","0.197","(-0.366, 0.258)","4.24e+03","2.89e+03","   1"
"22","rho[6,1]","0.00436","0.00542","0.186","0.191","(-0.304, 0.309)","5e+03","2.78e+03","   1"
"23","rho[7,1]","0.201","0.205","0.165","0.169","(-0.0737, 0.464)","4.5e+03","3.06e+03","   1"
"24","rho[1,2]","0.0524","0.0554","0.188","0.191","(-0.265, 0.358)","3.46e+03","2.74e+03","   1"
