"","parameter","mean","median","sd","mad","90% CI","ess_bulk","ess_tail","rhat"
"1","lp__","-131","-131","10.6","10.5","(-150, -115)","1.14e+03","2.09e+03","   1"
"2","CLHat","64.9","64.5","7.85","7.45","(52.4, 78.2)","1.03e+03","1.81e+03","   1"
"3","QHat","48.2","47.1","  11","10.1","(32.5, 68.5)","3.86e+03","3.11e+03","   1"
"4","V1Hat","10.2","9.97"," 2.4"," 2.4","(6.72, 14.4)","3.51e+03","2.82e+03","   1"
"5","V2Hat"," 506"," 495"," 110"," 106","( 345,  700)","2.76e+03","2.38e+03","   1"
"6","KAHat","3.27","3.13","0.901","0.834","(2.04, 4.98)","2.47e+03","2.25e+03","   1"
"7","KA14Hat","14.9","14.3","4.03","3.72","(9.33, 22.4)","2.51e+03","2.13e+03","   1"
"8","KA41Hat","0.135","0.134","0.0229","0.0228","(0.0987, 0.175)","2.44e+03","2.73e+03","   1"
"9","omega[1]","0.49","0.482","0.0734","0.0698","(0.383, 0.623)","1.76e+03","2.48e+03","   1"
"10","omega[2]","0.448","0.433","0.115","0.111","(0.286, 0.653)","3.97e+03","2.97e+03","   1"
"11","omega[3]","1.51"," 1.5","0.225","0.228","(1.13, 1.88)","1.38e+03","1.91e+03","   1"
"12","omega[4]","0.408","0.393","0.107","0.099","(0.26, 0.609)","3.21e+03","2.05e+03","   1"
"13","omega[5]","0.362","0.355","0.0822","0.0788","(0.241, 0.504)","2.9e+03","2.91e+03","   1"
"14","omega[6]","0.384","0.373","0.0864","0.0821","(0.259, 0.546)","2.47e+03","2.88e+03","   1"
"15","omega[7]","0.502","0.496","0.112","0.112","(0.331, 0.702)","2.07e+03","2.37e+03","   1"
"16","sigma","0.307","0.305","0.027","0.0261","(0.266, 0.354)","2.52e+03","3.03e+03","   1"
"17","nu","3.81","3.55","0.862","0.559","(3.04, 5.44)","2.16e+03","1.96e+03","   1"
"18","rho[2,1]","0.0315","0.0315","0.192","0.199","(-0.285, 0.353)","5.03e+03","3.12e+03","   1"
"19","rho[3,1]","0.253","0.258","0.138","0.138","(0.0202, 0.476)","1.89e+03","2.14e+03","   1"
"20","rho[4,1]","-0.018","-0.0142","0.19","0.194","(-0.331, 0.293)","5.47e+03","3.1e+03","   1"
"21","rho[5,1]","-0.0125","-0.0163","0.189","0.195","(-0.315, 0.305)","4.01e+03","3.09e+03","   1"
"22","rho[6,1]","0.025","0.0266","0.186","0.188","(-0.287, 0.329)","3.96e+03","2.93e+03","   1"
"23","rho[7,1]","0.187","0.19","0.165","0.166","(-0.0946, 0.45)","3.29e+03","2.79e+03","   1"
"24","rho[1,2]","0.0315","0.0315","0.192","0.199","(-0.285, 0.353)","5.03e+03","3.12e+03","   1"
"25","rho[3,2]","-0.0422","-0.0447","0.187","0.193","(-0.354, 0.26)","1.7e+03","2.41e+03","   1"
"26","rho[4,2]","0.00239","0.00736","0.196","0.199","(-0.325, 0.318)","5.14e+03","2.98e+03","   1"
"27","rho[5,2]","0.0184","0.0196","0.196","0.199","(-0.303, 0.344)","4.33e+03","3.41e+03","   1"
"28","rho[6,2]","0.0203","0.0192","0.196","0.199","(-0.305, 0.343)","3.08e+03","2.99e+03","   1"
"29","rho[7,2]","0.106","0.113","0.192"," 0.2","(-0.215, 0.413)","2.48e+03","2.91e+03","   1"
"30","rho[1,3]","0.253","0.258","0.138","0.138","(0.0202, 0.476)","1.89e+03","2.14e+03","   1"
"31","rho[2,3]","-0.0422","-0.0447","0.187","0.193","(-0.354, 0.26)","1.7e+03","2.41e+03","   1"
"32","rho[4,3]","-0.0451","-0.0478","0.189","0.193","(-0.359, 0.269)","4.66e+03","3.11e+03","   1"
"33","rho[5,3]","0.00317","0.00429","0.186","0.192","(-0.298, 0.308)","3.35e+03","2.98e+03","   1"
"34","rho[6,3]","-0.0955","-0.097","0.177","0.178","(-0.393, 0.198)","2.72e+03","2.65e+03","   1"
"35","rho[7,3]","0.111","0.113","0.16","0.164","(-0.156, 0.37)","3.04e+03","2.53e+03","   1"
"36","rho[1,4]","-0.018","-0.0142","0.19","0.194","(-0.331, 0.293)","5.47e+03","3.1e+03","   1"
"37","rho[2,4]","0.00239","0.00736","0.196","0.199","(-0.325, 0.318)","5.14e+03","2.98e+03","   1"
"38","rho[3,4]","-0.0451","-0.0478","0.189","0.193","(-0.359, 0.269)","4.66e+03","3.11e+03","   1"
"39","rho[5,4]","0.0258","0.0259","0.193","0.205","(-0.293, 0.342)","3.02e+03","3.25e+03","   1"
"40","rho[6,4]","-0.024","-0.0256","0.201","0.202","(-0.358, 0.314)","3.27e+03","2.86e+03","   1"
"41","rho[7,4]","-0.0355","-0.0391","0.196","0.201","(-0.354, 0.287)","2.75e+03","3.1e+03","   1"
"42","rho[1,5]","-0.0125","-0.0163","0.189","0.195","(-0.315, 0.305)","4.01e+03","3.09e+03","   1"
"43","rho[2,5]","0.0184","0.0196","0.196","0.199","(-0.303, 0.344)","4.33e+03","3.41e+03","   1"
