"","parameter","mean","median","sd","mad","90% CI","ess_bulk","ess_tail","rhat"
"1","lp__"," -96","-95.6","9.25"," 9.1","(-112, -81.3)","1.38e+03","1.9e+03","   1"
"2","CLHat","46.8","45.3","  12","11.1","(29.9, 68.8)","1.03e+04","2.58e+03","   1"
"3","QHat","39.5","38.2","10.4","10.1","(  25, 58.3)","8.16e+03","3.26e+03","   1"
"4","V1Hat","8.17","7.93","2.03","1.91","(5.27, 11.8)","9.67e+03","2.79e+03","   1"
"5","V2Hat"," 497"," 482"," 125"," 116","( 324,  723)","7.97e+03","2.6e+03","   1"
"6","KAHat","4.87","4.59","1.98","2.06","(2.09, 8.65)","5.97e+03","1.67e+03","   1"
"7","KA14Hat","5.53","4.84","2.98","2.37","(2.15,   11)","9.43e+03","2.99e+03","   1"
"8","KA41Hat","0.0821","0.0818","0.0387","0.0397","(0.0184, 0.148)","1.92e+03"," 692","   1"
"9","omega[1]","0.413"," 0.4","0.106","0.103","(0.264, 0.606)","9.55e+03","2.62e+03","   1"
"10","omega[2]","0.413","0.401","0.0997","0.0942","(0.27, 0.597)","9.18e+03","2.8e+03","   1"
"11","omega[3]","0.413","0.399","0.105","0.0947","(0.264, 0.602)","8.87e+03","2.62e+03","   1"
"12","omega[4]","0.414"," 0.4","0.106","0.0995","(0.264, 0.603)","8.22e+03","2.86e+03","   1"
"13","omega[5]","0.415","0.401","0.107","0.102","(0.267, 0.615)","7.95e+03","2.41e+03","   1"
"14","omega[6]","0.414","0.401","0.109","0.0969","(0.262, 0.614)","9.02e+03","2.21e+03","   1"
"15","omega[7]","0.413","0.401","0.102","0.0979","(0.269, 0.597)","9.38e+03","2.53e+03","   1"
"16","sigma","0.206"," 0.2","0.0522","0.0496","(0.132,  0.3)","9.07e+03","2.79e+03","   1"
"17","nu","20.8","17.1","14.5","  12","(4.98, 49.8)","5.4e+03","2.02e+03","   1"
"18","rho[2,1]","-0.00505","-0.00686","0.201","0.207","(-0.339, 0.327)","8.37e+03","2.71e+03","   1"
"19","rho[3,1]","0.00254","0.00345","0.193","0.198","(-0.321, 0.324)","8.62e+03","2.62e+03","   1"
"20","rho[4,1]","-0.00157","-0.00236","0.19","0.192","(-0.312, 0.32)","1.07e+04","2.22e+03","   1"
"21","rho[5,1]","0.00304","0.0037","0.199","0.208","(-0.326, 0.328)","7.87e+03","2.63e+03","   1"
"22","rho[6,1]","0.0016","0.00551","0.202","0.204","(-0.33, 0.339)","1.08e+04","2.81e+03","   1"
"23","rho[7,1]","0.00108","0.00215","0.192","0.193","(-0.319, 0.314)","9.02e+03","2.97e+03","   1"
"24","rho[1,2]","-0.00505","-0.00686","0.201","0.207","(-0.339, 0.327)","8.37e+03","2.71e+03","   1"
"25","rho[3,2]","-0.00206","0.000252","0.195","0.206","(-0.323, 0.315)","6.04e+03","2.71e+03","   1"
"26","rho[4,2]","-0.000285","0.00421","0.188","0.185","(-0.316, 0.31)","7.31e+03","2.91e+03","   1"
"27","rho[5,2]","0.00258","0.00294","0.19","0.19","(-0.311, 0.31)","7.05e+03","2.87e+03","   1"
"28","rho[6,2]","-0.00068","-0.0008","0.194","0.202","(-0.322, 0.316)","6.62e+03","2.74e+03","   1"
"29","rho[7,2]","0.0013","0.0064","0.195","0.194","(-0.326, 0.32)","7.76e+03","2.72e+03","   1"
"30","rho[1,3]","0.00254","0.00345","0.193","0.198","(-0.321, 0.324)","8.62e+03","2.62e+03","   1"
"31","rho[2,3]","-0.00206","0.000252","0.195","0.206","(-0.323, 0.315)","6.04e+03","2.71e+03","   1"
"32","rho[4,3]","0.001","-0.00272","0.192","0.198","(-0.304, 0.318)","6.17e+03","2.77e+03","   1"
"33","rho[5,3]","-0.00442","-0.00475","0.196","0.207","(-0.326, 0.321)","7.13e+03","3.11e+03","   1"
"34","rho[6,3]","0.00215","0.00378","0.196","0.192","(-0.322, 0.322)","5.61e+03","2.67e+03","   1"
"35","rho[7,3]","0.00159","0.00178","0.197","0.204","(-0.322, 0.324)","5.55e+03","2.95e+03","   1"
"36","rho[1,4]","-0.00157","-0.00236","0.19","0.192","(-0.312, 0.32)","1.07e+04","2.22e+03","   1"
"37","rho[2,4]","-0.000285","0.00421","0.188","0.185","(-0.316, 0.31)","7.31e+03","2.91e+03","   1"
"38","rho[3,4]","0.001","-0.00272","0.192","0.198","(-0.304, 0.318)","6.17e+03","2.77e+03","   1"
"39","rho[5,4]","0.00461","0.00662","0.199","0.205","(-0.322, 0.325)","5.94e+03","2.62e+03","   1"
"40","rho[6,4]","-0.00369","-0.00281","0.194","0.194","(-0.328, 0.32)","6.69e+03","2.61e+03","   1"
"41","rho[7,4]","0.00135","0.000543","0.197","0.198","(-0.323, 0.327)","6.14e+03","2.81e+03","   1"
"42","rho[1,5]","0.00304","0.0037","0.199","0.208","(-0.326, 0.328)","7.87e+03","2.63e+03","   1"
"43","rho[2,5]","0.00258","0.00294","0.19","0.19","(-0.311, 0.31)","7.05e+03","2.87e+03","   1"
"44","rho[3,5]","-0.00442","-0.00475","0.196","0.207","(-0.326, 0.321)","7.13e+03","3.11e+03","   1"
"45","rho[4,5]","0.00461","0.00662","0.199","0.205","(-0.322, 0.325)","5.94e+03","2.62e+03","   1"
"46","rho[6,5]","0.0003","0.000657","0.201","0.208","(-0.337, 0.323)","4.44e+03","2.94e+03","   1"
"47","rho[7,5]","0.0026","0.0049","0.198","0.203","(-0.329, 0.324)","5.04e+03","2.85e+03","   1"
"48","rho[1,6]","0.0016","0.00551","0.202","0.204","(-0.33, 0.339)","1.08e+04","2.81e+03","   1"
"49","rho[2,6]","-0.00068","-0.0008","0.194","0.202","(-0.322, 0.316)","6.62e+03","2.74e+03","   1"
"50","rho[3,6]","0.00215","0.00378","0.196","0.192","(-0.322, 0.322)","5.61e+03","2.67e+03","   1"
"51","rho[4,6]","-0.00369","-0.00281","0.194","0.194","(-0.328, 0.32)","6.69e+03","2.61e+03","   1"
"52","rho[5,6]","0.0003","0.000657","0.201","0.208","(-0.337, 0.323)","4.44e+03","2.94e+03","   1"
"53","rho[7,6]","0.00192","0.00311","0.196","0.195","(-0.327, 0.331)","3.89e+03","2.65e+03","   1"
"54","rho[1,7]","0.00108","0.00215","0.192","0.193","(-0.319, 0.314)","9.02e+03","2.97e+03","   1"
"55","rho[2,7]","0.0013","0.0064","0.195","0.194","(-0.326, 0.32)","7.76e+03","2.72e+03","   1"
"56","rho[3,7]","0.00159","0.00178","0.197","0.204","(-0.322, 0.324)","5.55e+03","2.95e+03","   1"
"57","rho[4,7]","0.00135","0.000543","0.197","0.198","(-0.323, 0.327)","6.14e+03","2.81e+03","   1"
"58","rho[5,7]","0.0026","0.0049","0.198","0.203","(-0.329, 0.324)","5.04e+03","2.85e+03","   1"
"59","rho[6,7]","0.00192","0.00311","0.196","0.195","(-0.327, 0.331)","3.89e+03","2.65e+03","   1"
