"","parameter","mean","median","sd","mad","90% CI","ess_bulk","ess_tail","rhat"
"1","lp__","-126","-126","10.4","10.6","(-144, -110)","1.32e+03","1.89e+03","   1"
"2","CLHat","54.3","52.6","13.5","13.2","(34.8, 79.1)","7.88e+03","2.55e+03","   1"
"3","Q1Hat"," 105"," 102","26.1","25.2","(67.6,  153)","8.79e+03","2.6e+03","   1"
"4","Q2Hat","  42","40.8","10.3","9.95","(27.5,   61)","9.33e+03","3.11e+03","   1"
"5","V1Hat","15.1","14.6","3.87","3.56","(9.76, 22.1)","8.65e+03","2.72e+03","   1"
"6","V2Hat","67.9","66.2","17.1","16.3","(42.8, 98.5)","9.16e+03","2.92e+03","   1"
"7","V3Hat"," 625"," 607"," 153"," 150","( 405,  902)","1.05e+04","2.61e+03","   1"
"8","KAHat"," 1.6","   1","1.84","0.895","(0.191, 5.05)","9.09e+03","2.54e+03","   1"
"9","KA14Hat","5.64"," 4.3","4.36","3.48","(0.988, 15.1)","6.86e+03","2.31e+03","   1"
"10","KA41Hat","0.138","0.0804","0.204","0.0714","(0.015, 0.439)","8.93e+03","2.46e+03","   1"
"11","omega[1]","0.45","0.399","0.23","0.198","(0.175, 0.89)","8.47e+03","2.19e+03","   1"
"12","omega[2]","0.445","0.395","0.221","0.18","(0.187, 0.864)","6.25e+03","2.09e+03","   1"
"13","omega[3]","0.451","0.401","0.23","0.192","(0.185, 0.877)","5.77e+03","1.95e+03","   1"
"14","omega[4]","0.452","0.399","0.241","0.195","(0.177, 0.896)","6.62e+03","1.83e+03","   1"
"15","omega[5]","0.453","0.402","0.235","0.198","(0.18, 0.909)","6.84e+03","2.11e+03","   1"
"16","omega[6]","0.454","0.401","0.235","0.199","(0.175, 0.92)","7.54e+03","2.42e+03","   1"
"17","omega[7]","0.451","0.402","0.228","0.198","(0.178, 0.878)","7.03e+03","2.21e+03","   1"
"18","omega[8]","0.456","0.398","0.246","0.202","(0.173, 0.934)","7.71e+03","2.28e+03","   1"
"19","omega[9]","0.455","0.398","0.24","0.193","(0.176, 0.918)","6.33e+03","2.26e+03","   1"
"20","sigma","0.227"," 0.2","0.124","0.0984","(0.0854, 0.465)","9.43e+03","2.91e+03","   1"
"21","nu","20.8","17.6","13.8","11.6","(4.87, 47.5)","4.6e+03","2.05e+03","   1"
"22","rho[2,1]","0.000396","0.00067","0.147","0.149","(-0.242, 0.24)","8.39e+03","2.84e+03","   1"
"23","rho[3,1]","-0.000317","0.00142","0.146","0.146","(-0.242, 0.243)","1.03e+04","2.66e+03","   1"
"24","rho[4,1]","-0.000308","0.00144","0.141","0.141","(-0.234, 0.23)","8.78e+03","2.67e+03","   1"
"25","rho[5,1]","-0.000701","0.00267","0.145","0.147","(-0.233, 0.236)","1.01e+04","2.63e+03","   1"
"26","rho[6,1]","0.000483","0.00282","0.147","0.147","(-0.241, 0.243)","9.6e+03","2.76e+03","   1"
"27","rho[7,1]","-0.00158","-0.00218","0.146","0.149","(-0.239, 0.242)","1.07e+04","2.71e+03","   1"
"28","rho[8,1]","-0.000489","6.5e-05","0.144","0.145","(-0.237, 0.24)","8.98e+03","2.86e+03","   1"
"29","rho[9,1]","0.00142","0.0016","0.145","0.148","(-0.236, 0.241)","9.55e+03","2.46e+03","   1"
"30","rho[1,2]","0.000396","0.00067","0.147","0.149","(-0.242, 0.24)","8.39e+03","2.84e+03","   1"
"31","rho[3,2]","0.00254","0.00373","0.143","0.145","(-0.233, 0.239)","7.58e+03","2.85e+03","   1"
"32","rho[4,2]","-0.000538","-0.00137","0.139","0.142","(-0.224, 0.225)","6.24e+03","2.64e+03","   1"
"33","rho[5,2]","-0.000698","-0.00205","0.144","0.15","(-0.236, 0.237)","9.64e+03","2.63e+03","   1"
"34","rho[6,2]","-0.00284","-0.00457","0.144","0.146","(-0.236, 0.24)","8.27e+03","2.45e+03","   1"
"35","rho[7,2]","0.000542","0.0026","0.138","0.141","(-0.23, 0.222)","7.32e+03","2.93e+03","   1"
"36","rho[8,2]","0.00178","0.00232","0.145","0.148","(-0.235, 0.242)","7.43e+03","2.87e+03","   1"
"37","rho[9,2]","-0.00101","0.00162","0.146","0.148","(-0.243, 0.24)","7.02e+03","2.78e+03","   1"
"38","rho[1,3]","-0.000317","0.00142","0.146","0.146","(-0.242, 0.243)","1.03e+04","2.66e+03","   1"
"39","rho[2,3]","0.00254","0.00373","0.143","0.145","(-0.233, 0.239)","7.58e+03","2.85e+03","   1"
"40","rho[4,3]","-0.00255","-9.89e-05","0.145","0.15","(-0.244, 0.233)","6.57e+03","2.81e+03","   1"
"41","rho[5,3]","-0.00341","-0.00425","0.144","0.144","(-0.24, 0.233)","7.86e+03","2.87e+03","   1"
"42","rho[6,3]","0.00255","0.00531","0.143","0.143","(-0.235, 0.231)","7.42e+03","2.83e+03","   1"
"43","rho[7,3]","-0.00199","-0.00266","0.144","0.147","(-0.238, 0.235)","7.58e+03","2.82e+03","   1"
"44","rho[8,3]","-0.00074","-0.00181","0.139","0.137","(-0.227, 0.226)","6.63e+03","2.62e+03","   1"
"45","rho[9,3]","0.000127","-0.00184","0.143","0.149","(-0.232, 0.236)","8.22e+03","2.57e+03","   1"
"46","rho[1,4]","-0.000308","0.00144","0.141","0.141","(-0.234, 0.23)","8.78e+03","2.67e+03","   1"
"47","rho[2,4]","-0.000538","-0.00137","0.139","0.142","(-0.224, 0.225)","6.24e+03","2.64e+03","   1"
"48","rho[3,4]","-0.00255","-9.89e-05","0.145","0.15","(-0.244, 0.233)","6.57e+03","2.81e+03","   1"
"49","rho[5,4]","-0.000512","0.000631","0.142","0.144","(-0.239, 0.23)","6.69e+03","2.79e+03","   1"
"50","rho[6,4]","0.00143","0.00142","0.144","0.148","(-0.237, 0.233)","7.1e+03","3.25e+03","   1"
"51","rho[7,4]","7.82e-05","0.00259","0.142","0.141","(-0.236, 0.234)","8.03e+03","2.53e+03","   1"
"52","rho[8,4]","0.000112","-0.000515","0.145","0.149","(-0.229, 0.239)","7.61e+03","2.83e+03","   1"
"53","rho[9,4]","0.000114","0.00402","0.143","0.146","(-0.24, 0.236)","6.35e+03","2.76e+03","   1"
"54","rho[1,5]","-0.000701","0.00267","0.145","0.147","(-0.233, 0.236)","1.01e+04","2.63e+03","   1"
"55","rho[2,5]","-0.000698","-0.00205","0.144","0.15","(-0.236, 0.237)","9.64e+03","2.63e+03","   1"
"56","rho[3,5]","-0.00341","-0.00425","0.144","0.144","(-0.24, 0.233)","7.86e+03","2.87e+03","   1"
"57","rho[4,5]","-0.000512","0.000631","0.142","0.144","(-0.239, 0.23)","6.69e+03","2.79e+03","   1"
"58","rho[6,5]","0.00112","0.00478","0.142","0.144","(-0.234, 0.231)","5.95e+03","2.63e+03","   1"
"59","rho[7,5]","-0.00155","-0.00177","0.14","0.141","(-0.228, 0.223)","5.62e+03","2.75e+03","   1"
"60","rho[8,5]","0.00061","0.00243","0.141","0.142","(-0.236, 0.225)","6.58e+03","2.85e+03","   1"
"61","rho[9,5]","0.000323","0.00171","0.143","0.143","(-0.24, 0.236)","5.59e+03","2.97e+03","   1"
"62","rho[1,6]","0.000483","0.00282","0.147","0.147","(-0.241, 0.243)","9.6e+03","2.76e+03","   1"
"63","rho[2,6]","-0.00284","-0.00457","0.144","0.146","(-0.236, 0.24)","8.27e+03","2.45e+03","   1"
"64","rho[3,6]","0.00255","0.00531","0.143","0.143","(-0.235, 0.231)","7.42e+03","2.83e+03","   1"
"65","rho[4,6]","0.00143","0.00142","0.144","0.148","(-0.237, 0.233)","7.1e+03","3.25e+03","   1"
"66","rho[5,6]","0.00112","0.00478","0.142","0.144","(-0.234, 0.231)","5.95e+03","2.63e+03","   1"
"67","rho[7,6]","0.00281","0.00156","0.142","0.145","(-0.234, 0.231)","6.33e+03","3.05e+03","   1"
"68","rho[8,6]","0.00189","0.00248","0.142","0.144","(-0.233, 0.234)","5.57e+03","2.63e+03","   1"
"69","rho[9,6]","-0.00162","-0.00456","0.143","0.145","(-0.23, 0.24)","5.5e+03","2.76e+03","   1"
"70","rho[1,7]","-0.00158","-0.00218","0.146","0.149","(-0.239, 0.242)","1.07e+04","2.71e+03","   1"
"71","rho[2,7]","0.000542","0.0026","0.138","0.141","(-0.23, 0.222)","7.32e+03","2.93e+03","   1"
"72","rho[3,7]","-0.00199","-0.00266","0.144","0.147","(-0.238, 0.235)","7.58e+03","2.82e+03","   1"
"73","rho[4,7]","7.82e-05","0.00259","0.142","0.141","(-0.236, 0.234)","8.03e+03","2.53e+03","   1"
"74","rho[5,7]","-0.00155","-0.00177","0.14","0.141","(-0.228, 0.223)","5.62e+03","2.75e+03","   1"
"75","rho[6,7]","0.00281","0.00156","0.142","0.145","(-0.234, 0.231)","6.33e+03","3.05e+03","   1"
"76","rho[8,7]","0.00269","-0.000131","0.147","0.148","(-0.241, 0.246)","5.77e+03","2.3e+03","   1"
"77","rho[9,7]","0.00116","0.00138","0.149","0.148","(-0.242, 0.245)","4.97e+03","2.32e+03","   1"
"78","rho[1,8]","-0.000489","6.5e-05","0.144","0.145","(-0.237, 0.24)","8.98e+03","2.86e+03","   1"
"79","rho[2,8]","0.00178","0.00232","0.145","0.148","(-0.235, 0.242)","7.43e+03","2.87e+03","   1"
"80","rho[3,8]","-0.00074","-0.00181","0.139","0.137","(-0.227, 0.226)","6.63e+03","2.62e+03","   1"
"81","rho[4,8]","0.000112","-0.000515","0.145","0.149","(-0.229, 0.239)","7.61e+03","2.83e+03","   1"
"82","rho[5,8]","0.00061","0.00243","0.141","0.142","(-0.236, 0.225)","6.58e+03","2.85e+03","   1"
"83","rho[6,8]","0.00189","0.00248","0.142","0.144","(-0.233, 0.234)","5.57e+03","2.63e+03","   1"
"84","rho[7,8]","0.00269","-0.000131","0.147","0.148","(-0.241, 0.246)","5.77e+03","2.3e+03","   1"
"85","rho[8,8]","   1","   1","   0","   0","(   1,    1)","  NA","  NA","  NA"
"86","rho[9,8]","0.000599","0.00058","0.14","0.14","(-0.231, 0.231)","5.18e+03","2.69e+03","   1"
"87","rho[1,9]","0.00142","0.0016","0.145","0.148","(-0.236, 0.241)","9.55e+03","2.46e+03","   1"
"88","rho[2,9]","-0.00101","0.00162","0.146","0.148","(-0.243, 0.24)","7.02e+03","2.78e+03","   1"
"89","rho[3,9]","0.000127","-0.00184","0.143","0.149","(-0.232, 0.236)","8.22e+03","2.57e+03","   1"
"90","rho[4,9]","0.000114","0.00402","0.143","0.146","(-0.24, 0.236)","6.35e+03","2.76e+03","   1"
"91","rho[5,9]","0.000323","0.00171","0.143","0.143","(-0.24, 0.236)","5.59e+03","2.97e+03","   1"
"92","rho[6,9]","-0.00162","-0.00456","0.143","0.145","(-0.23, 0.24)","5.5e+03","2.76e+03","   1"
"93","rho[7,9]","0.00116","0.00138","0.149","0.148","(-0.242, 0.245)","4.97e+03","2.32e+03","   1"
"94","rho[8,9]","0.000599","0.00058","0.14","0.14","(-0.231, 0.231)","5.18e+03","2.69e+03","   1"
"95","rho[9,9]","   1","   1","   0","   0","(   1,    1)","  NA","  NA","  NA"
